recency,history_segment,history,mens,womens,zip_code,newbie,channel,visit,spend,y,treatment,uplift,p0,p1,group
1,1) $0 - $100,98.83,0,1,Rural,0,Phone,0,0.0,0,1,7.322150089969642e-10,1.7019272298320632e-08,1.7751487307317596e-08,Lost Causes
1,5) $500 - $750,613.14,1,0,Urban,1,Web,0,0.0,0,1,-3.60159344991734e-13,1.9285982158309888e-08,1.9285621998964896e-08,Lost Causes
9,2) $100 - $200,192.27,0,1,Surburban,0,Phone,0,0.0,0,0,1.1425744434044389e-09,1.576318726989491e-08,1.6905761713299348e-08,Takers
2,"6) $750 - $1,000",930.75,1,1,Urban,1,Web,0,0.0,0,0,6.888660492343499e-10,1.9110577527254494e-08,1.9799443576488844e-08,Lost Causes
9,2) $100 - $200,111.81,0,1,Surburban,1,Phone,0,0.0,0,1,1.0700708798529128e-09,1.4603658477365513e-08,1.5673729357218426e-08,Takers
5,1) $0 - $100,29.99,0,1,Surburban,1,Phone,0,0.0,0,0,5.626485890029682e-10,1.5594238979734972e-08,1.615688756873794e-08,Lost Causes
6,1) $0 - $100,73.48,1,0,Surburban,0,Web,0,0.0,0,0,-3.5882114961054865e-10,1.5828955251891973e-08,1.5470134102281424e-08,Lost Causes
6,1) $0 - $100,29.99,0,1,Urban,1,Phone,0,0.0,0,1,5.722804440174768e-10,1.5861465659090936e-08,1.6433746103108413e-08,Lost Causes
5,1) $0 - $100,61.38,0,1,Surburban,1,Phone,0,0.0,0,1,1.705898862282223e-10,1.590369036744745e-08,1.6074280253675673e-08,Lost Causes
4,"7) $1,000 +",1202.11,0,1,Urban,1,Phone,0,0.0,0,1,6.420476706562314e-10,1.7800279615364923e-08,1.8442327286021155e-08,Lost Causes
10,2) $100 - $200,169.64,0,1,Surburban,0,Web,1,359.97,1,1,7.356216105147695e-07,0.9999958683549004,0.9999966039765109,Takers
4,2) $100 - $200,104.16,1,0,Rural,0,Web,0,0.0,0,1,6.661095654726435e-11,1.6757157059440775e-08,1.682376801598804e-08,Lost Causes
7,1) $0 - $100,29.99,0,1,Rural,0,Web,1,0.0,0,1,-5.123296292347811e-09,1.2930309868453633e-07,1.2417980239218852e-07,Lost Causes
8,1) $0 - $100,82.45,0,1,Surburban,0,Web,0,0.0,0,1,-4.708504034343116e-10,1.6485491762887843e-08,1.6014641359453532e-08,Lost Causes
4,2) $100 - $200,114.9,0,1,Surburban,0,Web,0,0.0,0,1,-1.9767653034825476e-11,1.639887250482285e-08,1.6379104851788025e-08,Lost Causes
10,1) $0 - $100,29.99,0,1,Surburban,0,Web,0,0.0,0,0,-6.912603314309819e-11,1.6480640063309517e-08,1.641151403016642e-08,Lost Causes
6,2) $100 - $200,172.99,0,1,Urban,0,Phone,1,0.0,0,1,2.542266392549829e-08,1.236013326369165e-07,1.490239965624148e-07,Takers
2,3) $200 - $350,272.73,1,1,Urban,0,Phone,1,0.0,0,1,6.426234358098646e-09,1.5428956174892838e-07,1.6071579610702703e-07,Takers
10,3) $200 - $350,238.7,1,1,Urban,1,Web,1,0.0,0,1,5.261666864141463e-08,8.144692499622292e-08,1.3406359363763754e-07,Takers
3,1) $0 - $100,55.91,1,0,Surburban,0,Phone,0,0.0,0,1,6.489871756225876e-11,1.6301153533511326e-08,1.6366052251073585e-08,Lost Causes
6,4) $350 - $500,353.74,1,1,Urban,1,Phone,0,0.0,0,1,9.220999942521655e-10,1.6502635412399155e-08,1.742473540665132e-08,Lost Causes
2,2) $100 - $200,167.63,1,0,Urban,1,Web,0,0.0,0,1,2.389048655442821e-10,1.549819983435798e-08,1.5737104699902263e-08,Lost Causes
9,1) $0 - $100,45.97,0,1,Surburban,1,Phone,0,0.0,0,1,1.4999335140166355e-09,1.525768876692131e-08,1.6757622280937944e-08,Takers
10,1) $0 - $100,51.37,0,1,Surburban,0,Web,1,0.0,0,1,6.763596327130699e-09,1.3098668740342349e-07,1.3775028373055418e-07,Takers
6,1) $0 - $100,33.28,1,0,Urban,0,Phone,0,0.0,0,0,-3.6857933271155026e-10,1.6254867576471962e-08,1.5886288243760412e-08,Lost Causes
5,1) $0 - $100,29.99,1,0,Urban,1,Phone,0,0.0,0,1,2.130835124216738e-10,1.568023186857997e-08,1.5893315381001643e-08,Lost Causes
3,3) $200 - $350,264.28,0,1,Rural,0,Web,1,0.0,0,1,-9.594214503989244e-09,1.4236796931796414e-07,1.327737548139749e-07,Lost Causes
9,1) $0 - $100,84.04,1,0,Urban,1,Phone,0,0.0,0,1,7.576612629359563e-10,1.4728247462978517e-08,1.5485908725914473e-08,Lost Causes
4,1) $0 - $100,39.89,0,1,Rural,1,Phone,0,0.0,0,0,5.377634269967816e-10,1.650057153772755e-08,1.703833496472433e-08,Lost Causes
5,5) $500 - $750,678.83,1,1,Surburban,1,Multichannel,0,0.0,0,1,9.096007423290782e-10,1.6280101348767308e-08,1.7189702091096386e-08,Lost Causes
1,1) $0 - $100,38.91,1,0,Surburban,1,Web,0,0.0,0,1,2.458703382701606e-10,1.5946383461877632e-08,1.6192253800147793e-08,Lost Causes
6,1) $0 - $100,44.96,1,0,Surburban,0,Phone,0,0.0,0,1,-3.6848590276263577e-10,1.6255225467968694e-08,1.588673956520606e-08,Lost Causes
6,2) $100 - $200,119.58,1,0,Surburban,1,Web,0,0.0,0,0,2.0750151038258164e-10,1.5269367441778008e-08,1.547686895216059e-08,Lost Causes
10,2) $100 - $200,175.39,1,0,Rural,0,Phone,0,0.0,0,0,-6.286037800326488e-10,1.6070209793531208e-08,1.544160601349856e-08,Lost Causes
1,5) $500 - $750,656.75,1,1,Urban,1,Phone,0,0.0,0,1,-7.481288848676481e-13,1.986356258449196e-08,1.9862814455607092e-08,Lost Causes
8,2) $100 - $200,110.2,1,0,Urban,0,Web,0,0.0,0,1,-2.9072448951345645e-10,1.5758055299935623e-08,1.5467330810422166e-08,Lost Causes
10,3) $200 - $350,267.32,1,0,Surburban,0,Multichannel,0,0.0,0,1,3.4704064606807665e-10,1.6844168453985945e-08,1.7191209100054022e-08,Lost Causes
8,1) $0 - $100,71.0,1,0,Urban,0,Web,0,0.0,0,1,-6.741399775258054e-10,1.6141468865889925e-08,1.546732888836412e-08,Lost Causes
6,1) $0 - $100,29.99,1,0,Rural,0,Web,0,0.0,0,0,-3.645366632251016e-10,1.6077347915254212e-08,1.571281125202911e-08,Lost Causes
6,2) $100 - $200,139.88,0,1,Rural,1,Phone,0,0.0,0,1,5.290456662184904e-10,1.543331021690191e-08,1.59623558831204e-08,Lost Causes
1,3) $200 - $350,227.53,1,1,Urban,0,Web,0,0.0,0,0,-2.656111368672387e-13,1.9495922695927245e-08,1.9495657084790378e-08,Lost Causes
9,1) $0 - $100,93.47,0,1,Surburban,0,Phone,1,0.0,0,1,-8.94826983306199e-09,1.0426217499046618e-07,9.531390515740419e-08,Lost Causes
4,3) $200 - $350,257.6,0,1,Urban,1,Multichannel,0,0.0,0,0,6.263587586019665e-10,1.736763831702548e-08,1.7993997075627447e-08,Lost Causes
8,2) $100 - $200,133.4,0,1,Urban,1,Phone,0,0.0,0,1,5.708187858476882e-10,1.4986865553989307e-08,1.5557684339836995e-08,Lost Causes
6,3) $200 - $350,283.06,0,1,Urban,0,Multichannel,1,0.0,0,1,4.082198666640957e-08,1.2588956738495772e-07,1.667115540513673e-07,Takers
8,3) $200 - $350,249.99,1,0,Urban,0,Web,0,0.0,0,1,2.518712890181168e-10,1.616776672966394e-08,1.6419638018682057e-08,Lost Causes
5,1) $0 - $100,99.12,1,0,Surburban,1,Web,0,0.0,0,1,2.0752753523348443e-10,1.5269354817124703e-08,1.5476882352358188e-08,Lost Causes
3,2) $100 - $200,105.4,0,1,Rural,1,Phone,0,0.0,0,1,5.400447055293215e-10,1.7651478374355013e-08,1.8191523079884334e-08,Lost Causes
4,1) $0 - $100,81.28,0,1,Urban,0,Phone,0,0.0,0,1,4.1814511639176747e-10,1.6032071408137006e-08,1.6450216524528773e-08,Lost Causes
10,2) $100 - $200,150.31,0,1,Rural,0,Phone,0,0.0,0,0,9.021703007794127e-10,1.5117643990135755e-08,1.6019814290915167e-08,Lost Causes
9,1) $0 - $100,29.99,0,1,Urban,0,Phone,0,0.0,0,0,3.6623574923863283e-10,1.5915600039848728e-08,1.628183578908736e-08,Lost Causes
1,1) $0 - $100,29.99,0,1,Rural,1,Phone,0,0.0,0,1,1.7798341853671189e-10,1.6987576432955276e-08,1.7165559851491988e-08,Lost Causes
11,1) $0 - $100,73.15,1,0,Urban,1,Phone,0,0.0,0,1,7.576573146159646e-10,1.4728247102293592e-08,1.5485904416909557e-08,Lost Causes
5,1) $0 - $100,48.84,0,1,Rural,1,Web,0,0.0,0,1,4.6003772902951574e-10,1.5649564138869812e-08,1.6109601867899328e-08,Lost Causes
4,1) $0 - $100,59.25,0,1,Urban,0,Web,0,0.0,0,1,-2.1062166929663844e-11,1.7478810855489598e-08,1.7457748688559934e-08,Lost Causes
10,3) $200 - $350,310.4,0,1,Rural,0,Web,0,0.0,0,1,4.898542449163966e-10,1.701235588705897e-08,1.7502210131975367e-08,Lost Causes
9,1) $0 - $100,57.06,0,1,Urban,0,Phone,0,0.0,0,1,-3.1274509109705576e-11,1.5469391387095413e-08,1.5438116877985708e-08,Lost Causes
11,2) $100 - $200,170.84,0,1,Urban,1,Phone,0,0.0,0,0,1.1125580778917994e-09,1.5183629267520252e-08,1.629618734541205e-08,Takers
4,1) $0 - $100,64.95,0,1,Surburban,0,Web,0,0.0,0,0,-2.0320296585650598e-11,1.6864930391918922e-08,1.684461009533327e-08,Lost Causes
4,3) $200 - $350,302.17,1,1,Urban,0,Web,0,0.0,0,1,5.542524824362249e-10,1.9277222600560054e-08,1.983147508299628e-08,Lost Causes
3,1) $0 - $100,30.9,1,0,Rural,0,Web,0,0.0,0,1,6.972307810761891e-11,1.752056018416518e-08,1.75902832622728e-08,Lost Causes
5,"7) $1,000 +",1084.71,1,1,Urban,1,Phone,0,0.0,0,1,9.096356588913479e-10,1.6280054965930785e-08,1.7189690624822133e-08,Lost Causes
4,1) $0 - $100,29.99,0,1,Surburban,1,Phone,0,0.0,0,0,1.676610605697078e-10,1.6027421112184108e-08,1.6195082172753816e-08,Lost Causes
10,1) $0 - $100,63.04,0,1,Surburban,1,Web,0,0.0,0,0,7.548433903844974e-10,1.5572957857800125e-08,1.6327801248184622e-08,Lost Causes
9,1) $0 - $100,33.63,0,1,Rural,0,Phone,0,0.0,0,0,3.6685066334331543e-10,1.5941069924433027e-08,1.6307920587776342e-08,Lost Causes
9,1) $0 - $100,78.72,0,1,Surburban,1,Web,1,0.0,0,1,1.1933382620689611e-09,1.393475566592696e-07,1.4054089492133857e-07,Takers
5,2) $100 - $200,149.81,1,0,Surburban,0,Web,0,0.0,0,0,-3.0566612887775596e-10,1.5309845997461088e-08,1.5004179868583332e-08,Lost Causes
5,4) $350 - $500,374.5,1,0,Surburban,0,Phone,0,0.0,0,1,6.622024262200285e-10,1.7144790603553394e-08,1.7806993029773423e-08,Lost Causes
7,3) $200 - $350,238.13,1,1,Urban,1,Web,0,0.0,0,1,6.521662086477745e-10,1.639791591640312e-08,1.7050082125050895e-08,Lost Causes
12,1) $0 - $100,29.99,1,0,Surburban,0,Web,0,0.0,0,1,-6.740480889526956e-10,1.613959915079159e-08,1.5465551061838894e-08,Lost Causes
1,3) $200 - $350,248.47,1,0,Urban,1,Multichannel,0,0.0,0,1,-2.751236047403013e-13,1.8932070307168517e-08,1.8931795183563777e-08,Lost Causes
2,2) $100 - $200,171.8,0,1,Surburban,1,Phone,0,0.0,0,1,7.962089732298146e-10,1.5783404645534966e-08,1.657961361876478e-08,Lost Causes
1,1) $0 - $100,53.82,1,0,Surburban,1,Web,0,0.0,0,0,2.5441789227705074e-10,1.65007511708811e-08,1.675516906315815e-08,Lost Causes
9,"6) $750 - $1,000",901.99,1,0,Urban,1,Multichannel,1,0.0,0,0,4.291962755084195e-08,1.3789258467818815e-07,1.808122122290301e-07,Takers
1,4) $350 - $500,397.59,1,0,Urban,0,Multichannel,0,0.0,0,1,-1.825931131575683e-13,1.9761573614088747e-08,1.976139102097559e-08,Lost Causes
10,4) $350 - $500,462.85,0,1,Urban,0,Phone,0,0.0,0,0,7.760822923665204e-10,1.7353383932995118e-08,1.8129466225361638e-08,Lost Causes
12,1) $0 - $100,29.99,0,1,Rural,0,Web,1,0.0,0,0,-6.568600595776203e-09,1.6577980618402096e-07,1.5921120558824475e-07,Lost Causes
2,1) $0 - $100,93.43,0,1,Surburban,1,Phone,0,0.0,0,1,2.2865666762146383e-10,1.6491153293034226e-08,1.671980996065569e-08,Lost Causes
11,3) $200 - $350,311.47,1,0,Urban,0,Web,0,0.0,0,1,-2.1102888581478422e-10,1.644367802018669e-08,1.6232649134371905e-08,Lost Causes
6,3) $200 - $350,239.49,1,1,Urban,0,Phone,1,0.0,0,0,4.0620648854859185e-08,8.465230199710176e-08,1.2527295085196095e-07,Takers
4,2) $100 - $200,102.71,0,1,Surburban,1,Web,0,0.0,0,0,2.2836171552683683e-10,1.6481503038247384e-08,1.670986475377422e-08,Lost Causes
6,3) $200 - $350,265.2,1,0,Surburban,0,Phone,0,0.0,0,1,8.361790731448709e-10,1.6731094568215108e-08,1.756727364135998e-08,Lost Causes
12,1) $0 - $100,29.99,1,0,Urban,1,Phone,0,0.0,0,0,7.902565287008741e-10,1.5361949541212002e-08,1.6152206069912876e-08,Lost Causes
3,"7) $1,000 +",1439.68,0,1,Rural,1,Multichannel,0,0.0,0,1,-1.2442379670900676e-13,1.8710048258805026e-08,1.8709923835008317e-08,Lost Causes
3,"6) $750 - $1,000",863.72,0,1,Urban,1,Web,0,0.0,0,1,6.488495225102295e-10,1.7992568377015955e-08,1.8641417899526185e-08,Lost Causes
8,2) $100 - $200,117.19,1,0,Rural,1,Phone,0,0.0,0,0,5.156171243689011e-10,1.51197931985873e-08,1.5635410322956202e-08,Lost Causes
8,3) $200 - $350,271.58,1,0,Surburban,0,Multichannel,0,0.0,0,0,8.361811061737136e-10,1.673109260278478e-08,1.7567273708958492e-08,Lost Causes
4,2) $100 - $200,116.07,0,1,Surburban,0,Web,0,0.0,0,1,-2.0148269561429795e-11,1.6714624809166684e-08,1.6694476539605254e-08,Lost Causes
7,1) $0 - $100,29.99,1,0,Urban,0,Web,0,0.0,0,0,-3.649032185709749e-10,1.609256889215574e-08,1.5727665673584766e-08,Lost Causes
10,1) $0 - $100,59.62,0,1,Surburban,1,Web,0,0.0,0,0,7.317322912979593e-10,1.5096159382244363e-08,1.5827891673542322e-08,Lost Causes
2,2) $100 - $200,176.09,0,1,Urban,1,Phone,1,0.0,0,1,4.304733303431549e-09,1.2839597187312117e-07,1.3270070517655272e-07,Takers
1,3) $200 - $350,290.06,1,0,Surburban,1,Multichannel,0,0.0,0,0,-3.307860253687652e-13,1.893225430903684e-08,1.893192352301147e-08,Lost Causes
1,5) $500 - $750,576.37,0,1,Surburban,1,Multichannel,0,0.0,0,1,-5.007611769338988e-13,1.9573599360242198e-08,1.9573098599065264e-08,Lost Causes
4,1) $0 - $100,85.21,1,0,Urban,1,Web,0,0.0,0,0,2.3862397402556157e-10,1.548521172364329e-08,1.572383569766885e-08,Lost Causes
9,3) $200 - $350,270.91,0,1,Urban,0,Phone,0,0.0,0,0,1.576922415502129e-09,1.6731063388286073e-08,1.8307985803788202e-08,Takers
3,2) $100 - $200,126.2,0,1,Surburban,1,Phone,0,0.0,0,1,2.3027993284475897e-10,1.6609626868907505e-08,1.6839906801752264e-08,Lost Causes
3,1) $0 - $100,77.4,1,0,Rural,0,Web,0,0.0,0,1,6.850459049677314e-11,1.7213678292610504e-08,1.7282182883107277e-08,Lost Causes
8,1) $0 - $100,42.88,1,0,Urban,1,Web,0,0.0,0,1,5.225905545679942e-10,1.5324611979284236e-08,1.584720253385223e-08,Lost Causes
1,5) $500 - $750,578.25,1,0,Surburban,1,Web,0,0.0,0,1,-3.2960427506049947e-13,1.8958285229964732e-08,1.895795562568967e-08,Lost Causes
6,1) $0 - $100,58.49,1,0,Surburban,0,Phone,0,0.0,0,1,-3.5561086235089764e-10,1.5687261574533836e-08,1.533165071218294e-08,Lost Causes
10,1) $0 - $100,29.99,1,0,Urban,0,Web,1,0.0,0,0,-1.1980097636381743e-08,1.766501612445697e-07,1.6467006360818797e-07,Lost Causes
4,1) $0 - $100,81.44,1,0,Surburban,0,Web,0,0.0,0,0,6.208514682572154e-11,1.5606316242562624e-08,1.5668401389388345e-08,Lost Causes
2,1) $0 - $100,62.34,0,1,Urban,1,Phone,0,0.0,0,0,2.3050182918402775e-10,1.6624247751646757e-08,1.6854749580830785e-08,Lost Causes
2,1) $0 - $100,91.55,1,0,Surburban,1,Web,0,0.0,0,1,2.4042671705656633e-10,1.5594605967924522e-08,1.5835032684981088e-08,Lost Causes
1,1) $0 - $100,94.43,0,1,Urban,1,Web,0,0.0,0,0,2.3152265483386075e-10,1.6695294998950453e-08,1.6926817653784314e-08,Lost Causes
5,2) $100 - $200,108.62,0,1,Surburban,0,Phone,0,0.0,0,1,6.789603239718807e-10,1.598252153959211e-08,1.666148186356399e-08,Lost Causes
8,3) $200 - $350,337.09,1,0,Surburban,0,Phone,0,0.0,0,0,5.231457579609584e-10,1.671460175014228e-08,1.723774750810324e-08,Lost Causes
10,5) $500 - $750,536.95,0,1,Surburban,1,Phone,0,0.0,0,1,9.150921308260765e-10,1.7056668643393692e-08,1.7971760774219768e-08,Lost Causes
3,5) $500 - $750,613.82,1,1,Surburban,1,Phone,0,0.0,0,0,6.548561890969675e-10,1.8168989731462897e-08,1.8823845920559864e-08,Lost Causes
3,1) $0 - $100,89.07,0,1,Urban,1,Phone,0,0.0,0,1,2.2609817384348333e-10,1.630770888880045e-08,1.6533807062643932e-08,Lost Causes
2,2) $100 - $200,172.02,1,0,Surburban,1,Web,0,0.0,0,1,8.186971093484578e-10,1.572770455363016e-08,1.6546401662978617e-08,Lost Causes
9,1) $0 - $100,29.99,0,1,Surburban,1,Web,0,0.0,0,1,1.141769606808597e-09,1.5269941578942207e-08,1.6411711185750804e-08,Takers
3,"7) $1,000 +",1165.85,1,1,Urban,1,Multichannel,1,0.0,0,0,5.98191092867951e-09,1.6663391514826922e-07,1.7261582607694873e-07,Takers
1,4) $350 - $500,480.01,1,0,Surburban,0,Multichannel,0,0.0,0,1,-1.5819246903086474e-13,1.952250934193039e-08,1.952235114946136e-08,Lost Causes
5,2) $100 - $200,157.91,1,0,Urban,0,Web,1,0.0,0,1,9.472886809626124e-09,7.664742843953858e-08,8.61203152491647e-08,Takers
4,4) $350 - $500,428.19,1,0,Surburban,0,Multichannel,0,0.0,0,1,6.371367329215699e-10,1.7661439121712003e-08,1.8298575854633573e-08,Lost Causes
9,1) $0 - $100,68.28,1,0,Surburban,0,Web,0,0.0,0,0,-6.874010008876544e-10,1.6459872878208592e-08,1.5772471877320938e-08,Lost Causes
3,4) $350 - $500,425.68,0,1,Urban,1,Web,0,0.0,0,1,6.799041639405429e-10,1.885531419306597e-08,1.9535218357006513e-08,Lost Causes
10,2) $100 - $200,117.0,0,1,Urban,1,Web,0,0.0,0,1,1.0970571419614595e-09,1.497219198964294e-08,1.60692491316044e-08,Takers
1,1) $0 - $100,29.99,1,0,Urban,1,Web,0,0.0,0,1,2.5293135719118346e-10,1.6407173082146375e-08,1.666010443933756e-08,Lost Causes
9,4) $350 - $500,447.11,1,1,Surburban,1,Web,0,0.0,0,1,1.2759490654808494e-09,1.700768080286606e-08,1.8283629868346908e-08,Takers
3,1) $0 - $100,92.85,0,1,Urban,1,Phone,0,0.0,0,0,2.2609817384348333e-10,1.630770888880045e-08,1.6533807062643932e-08,Lost Causes
2,4) $350 - $500,476.04,1,1,Urban,0,Phone,1,0.0,0,1,-2.2958156228102766e-09,1.570402810057411e-07,1.5474446538293083e-07,Lost Causes
2,4) $350 - $500,430.1,0,1,Urban,1,Phone,0,0.0,0,1,6.835750393458466e-10,1.895948681935818e-08,1.9643061858704028e-08,Lost Causes
2,1) $0 - $100,51.13,1,0,Urban,1,Phone,0,0.0,0,0,2.5850003984186753e-10,1.6769947830153854e-08,1.702844786999572e-08,Lost Causes
1,1) $0 - $100,29.99,1,0,Surburban,1,Phone,0,0.0,0,0,2.4586802434414244e-10,1.5946385828642548e-08,1.619225385298669e-08,Lost Causes
7,1) $0 - $100,29.99,0,1,Surburban,0,Phone,0,0.0,0,1,3.6342868657566997e-10,1.5793225695385337e-08,1.6156654381961007e-08,Lost Causes
2,4) $350 - $500,370.34,0,1,Surburban,0,Phone,0,0.0,0,0,1.8780253914994852e-10,1.893487161332058e-08,1.9122674152470527e-08,Lost Causes
8,1) $0 - $100,51.26,1,0,Urban,0,Web,0,0.0,0,1,-6.662710550501216e-10,1.5953057002886105e-08,1.5286785947835983e-08,Lost Causes
1,5) $500 - $750,713.31,0,1,Urban,1,Web,0,0.0,0,1,-4.646754260828612e-13,1.9596884583128288e-08,1.9596419907702205e-08,Lost Causes
6,2) $100 - $200,179.01,1,0,Urban,0,Phone,1,230.46,1,1,-5.155563709280386e-08,0.999993121704827,0.9999930701491899,Sure Things
6,2) $100 - $200,131.75,0,1,Rural,1,Web,1,0.0,0,1,1.8175421176504707e-08,9.896111229551126e-08,1.1713653347201596e-07,Takers
9,1) $0 - $100,84.72,0,1,Rural,1,Web,0,0.0,0,1,1.0038701158300732e-09,1.5264304781812163e-08,1.6268174897642236e-08,Takers
6,3) $200 - $350,252.5,1,0,Surburban,1,Multichannel,0,0.0,0,0,1.000166685399641e-09,1.595303529105058e-08,1.6953201976450222e-08,Takers
10,1) $0 - $100,58.16,1,0,Surburban,0,Web,1,0.0,0,0,-8.06232165328227e-10,9.803837120649094e-08,9.723213904116271e-08,Lost Causes
3,2) $100 - $200,156.0,0,1,Surburban,1,Phone,0,0.0,0,1,2.2118096117840604e-10,1.5953696562331913e-08,1.617487752351032e-08,Lost Causes
9,4) $350 - $500,383.37,1,0,Surburban,0,Web,1,0.0,0,0,-1.0626504068066251e-08,1.5597870386213248e-07,1.4535219979406623e-07,Lost Causes
4,2) $100 - $200,150.01,0,1,Urban,1,Phone,0,0.0,0,1,2.1574469937522694e-10,1.5570519958686196e-08,1.5786264658061423e-08,Lost Causes
4,1) $0 - $100,80.29,1,0,Rural,0,Phone,0,0.0,0,1,6.624045851895126e-11,1.6662343461516073e-08,1.6728583920035024e-08,Lost Causes
6,1) $0 - $100,51.36,0,1,Urban,1,Web,0,0.0,0,1,4.60318391925365e-10,1.5659949875111957e-08,1.6120268267037322e-08,Lost Causes
9,4) $350 - $500,377.75,1,1,Surburban,0,Multichannel,0,0.0,0,1,1.3990813882098648e-09,1.6975528790012623e-08,1.8374610178222487e-08,Takers
